轮播,#genre#
成龙,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbcl
成龙,http://107.150.60.122/live/lbcl.m3u8
闯关东,http://173.208.234.146/live/lbchuangguandong.m3u8
封神榜,https://live.metshop.top/yy/1353426319
封神榜,https://live.ottiptv.cc/yy/1353426319
林正英,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hylzy
林正英,http://107.150.60.122/live/lblzy.m3u8
鹿鼎记,https://live.ottiptv.cc/yy/1460463356
水浒传,http://173.208.234.146/live/vlshz.m3u8
水浒传,http://live.ottiptv.cc/huya/26355860
天龙八部,https://txmov2.a.kwimgs.com/upic/2021/02/26/11/BMjAyMTAyMjYxMTAwNTBfNDAzMDAxOTlfNDUwNDcyNzM5MTRfMF8z_b_B75ed716649c36f65fc2354f75dba47a5.mp4
天龙八部,https://godmusic.bs2dl.yy.com/dHZlZmVhMWUxMDYzYjQ0ZmJkYjU4MmE4NDlkYjRmNmMxMy0xMTY2Mzk0Njky?Cf=cf.mp4
西游记,http://173.208.234.146/live/vlxyj.m3u8
西游记,https://txmov2.a.kwimgs.com/bs3/video-hls/5239093806671579134_hlsb.m3u8
中华小当家,http://61.221.215.25:8800/hls/40/index.m3u8
周润发,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbzrf
周润发,http://107.150.60.122/live/lbzrf.m3u8
24H国漫热播,https://www.goodiptv.club/yy/1353937086
24H国漫热播,https://lunbo.freetv.top/yy/1353937086
24H国漫热播,http://150.158.112.123/php/yy.php?id=1353937086
1930年代经典电影,https://live.ottiptv.cc/yy/1356363815
爱情公寓,https://live.ottiptv.cc/douyu/4105989
爱情公寓,https://live.ottiptv.cc/huya/11336726
陈情令,https://live.ottiptv.cc/huya/29465862
陈情令,https://live.ottiptv.cc/yy/1382745121
陈翔六点半,https://live.ottiptv.cc/huya/11274154
闯关东,https://live.ottiptv.cc/yy/1383546866
大唐双龙传,https://live.metshop.top/huya/29465850
大唐双龙传,https://live.ottiptv.cc/yy/1354930979
二号交通站,https://live.ottiptv.cc/yy/1382735582
二号交通站,https://live.ottiptv.cc/yy/1354930965
封神榜,https://live.metshop.top/huya/29465849
封神榜,http://cdn.jdshipin.com:8880/huya.php?id=29465849
封神榜,https://live.ottiptv.cc/huya/29465849
封神榜,http://i.880824.xyz:35455/huya/29465849
封神榜,http://61.133.118.228:5001/yy/1353426319
封神榜,http://1.94.31.214:35455/huya/29465849
封神榜,http://www.clmy.cc:35455/yy/1353426319
封神榜,http://luobo.bkpcp.top/yy/1353426319
封神榜,http://live.iill.top/yy.php?id=1353426319
封神榜,http://live.ottiptv.cc/huya/29465849
国内喜剧,https://live.ottiptv.cc/yy/1382736862
国内喜剧,https://live.ottiptv.cc/yy/1382735563
海绵宝宝,https://live.metshop.top/douyu/3949681
海绵宝宝,http://61.133.118.228:5001/douyu/3949681
海绵宝宝,http://1.94.31.214:35455/huya/11352919
海绵宝宝,http://zzy789.xyz/douyu1.php?id=1569773
欢乐集结号,https://live.ottiptv.cc/yy/1354931582
欢乐颂,https://live.ottiptv.cc/yy/1382735624
欢乐颂,https://live.ottiptv.cc/yy/1382851577
欢乐一起看,https://live.ottiptv.cc/yy/1354930926
华视-爱情大片,https://live.ottiptv.cc/huya/23358431
华视-动作大片,https://live.ottiptv.cc/huya/23352535
华视-高分好片,https://live.ottiptv.cc/huya/23352530
华视-喜剧大片,https://live.ottiptv.cc/huya/23352525
华视-悬疑恐怖,https://live.ottiptv.cc/huya/23358441
回家的诱惑,https://live.ottiptv.cc/yy/1354658048
火影忍者,http://cdn.jdshipin.com:8880/huya.php?id=29465866
火影忍者,https://hd.ijycnd.com/play/Yer3NWLa/index.m3u8
iTVB大后宫,https://live.ottiptv.cc/huya/23863804
济公游记,http://1.94.31.214:35455/yy/21482
济公游记,http://live.iill.top/yy.php?id=1355265814
经典动漫,http://61.133.118.228:5001/yy/24180320
经典动漫,http://luobo.bkpcp.top/yy/24180320
康熙微服私访记,https://live.ottiptv.cc/huya/11342418
康熙微服私访记,https://live.ottiptv.cc/yy/1352811698
狂飙,https://live.ottiptv.cc/yy/1382626335
蜡笔小新,http://1.94.31.214:35455/huya/11352970
蜡笔小新,http://www.douzhicloud.site:35455/bilibili/30837590
蓝翔新三国,https://live.ottiptv.cc/huya/15396432
