其他,#genre#
Anhui TV,https://restream.pdtvhd.com/memfs/c1cd2ed0-3b2b-4c25-af98-a7fb0b1eb130.m3u8
CHC动作电影,http://192.151.150.154/live/chcdz.m3u8
CHC动作电影,http://107.150.60.122/live/chcdz.m3u8
CHC动作电影,http://198.204.228.26/live/chcdz.m3u8
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC家庭影院,http://192.151.150.154/live/chcjt.m3u8
CHC家庭影院,http://198.204.228.26/live/chcjt.m3u8
Guangzhou TV,https://tencentplaybusiness.gztv.com/live/zonghes.m3u8
Hunan TV (2160p),http://hlsal-ldvt.qing.mgtv.com/nn_live/nn_x64/dWlwPTEyNy4wLjAuMSZ1aWQ9cWluZy1jbXMmbm5fdGltZXpvbmU9OCZjZG5leF9pZD1hbF9obHNfbGR2dCZ1dWlkPTliODY4NmU5ZTM2YzYwMmMmZT02OTE0NjA0JnY9MSZpZD1ITldTWkdTVCZzPTcwN2RiYTc2YzJjNmJmMTQ4MmUyZGYzOWU2NWM3YWFi/HNWSZGST.m3u8
JJ斗地主,http://1.14.124.206:35455/huya/30814433
JJ斗地主,http://1.14.124.206:35455/huya/30814432
NewTV动作电影,https://iptv.catvod.com/live.php?id=NewTV%E5%8A%A8%E4%BD%9C%E7%94%B5%E5%BD%B1
VIU,http://r.jdshipin.com/vSJvl
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
VIU,http://php.jdshipin.com/TVOD/iptv.php?id=viutv2
Viutv,http://r.jdshipin.com/TcKr2
Viutv,http://r.jdshipin.com/vSJvl
Viutv,http://php.jdshipin.com/TVOD/iptv.php?id=viutv
Xinjiang TV 3,http://110.153.180.106:55555/out_2/index.m3u8
ЖӨҶЖҰҸЕ°‘Е„Ҝ,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
ЖӨҶЖҰҸЕӢҪЙҶ…,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
ЖӨҶЖҰҸЖ•ҶЗ§‘ЕҪҰИ§Ҷ,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
ЖӨҶЖҰҸЗ»ҸИ§Ҷ,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
七台河新闻综合,http://live.qthnews.org.cn:1935/live/live1/800k/tzwj_video.m3u8
三明新闻综合,http://ls.qingting.fm/live/4885.m3u8
三明新闻综合,https://ls.qingting.fm/live/5022100/64k.m3u8
